Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.93231,   110.91764,    85.33000,    52.44868,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67593,   169.10001,   212.30000,   140.93951,   110.38000,    85.80943,    52.88697,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.93507,   110.55994,    85.33000,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67589,   169.10001,   212.30000,   140.93449,   110.51101,    85.33000,    53.19560,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.93797,   110.38000,    85.33000,    52.91161,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67584,   169.10001,   212.30000,   140.93500,   110.53000,    85.34933,    52.73663,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67577,   169.10001,   212.30000,   140.93365,   110.53000,    85.31828,    53.68453,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67567,   169.10001,   212.30000,   140.93326,   110.53000,    85.52989,    52.44905,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67560,   169.10001,   212.30000,   140.94580,   110.38000,    85.36520,    53.67000,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.95587,   110.75000,    85.40356,    53.25756,     0.00000,     0.00000,     0.00000,     0.00000
  11,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.95673,   110.40929,    85.58799,    52.45021,     0.00000,     0.00000,     0.00000,     0.00000
