Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,    65.67662,    53.70678,    92.44015,    39.18933,    92.49647,    65.26270,   247.26637,    69.60831,   197.17523,   306.37982,   812.61597,     0.00000,   223.19771,     0.00000,   230.00000,     0.00000
   2,   1,   1,    65.64944,    53.47456,    92.51491,    39.46336,    92.57667,    65.39003,     0.00000,   141.12210,   197.16678,   264.03009,   271.36050,     0.00000,   869.12634,     0.00000,   353.24680,     0.00000
   3,   1,   1,    65.64944,    53.56799,    92.44025,    39.22131,    92.45325,    65.40359,   247.27023,   115.72284,   197.15833,   306.27975,   499.36768,     0.00000,   222.65733,     0.00000,   495.09711,     0.00000
   4,   1,   1,    65.64944,    53.56799,    92.44015,    39.29437,    92.25565,    65.37498,     0.00000,    69.60831,   197.14987,   243.43504,   446.66678,     0.00000,   223.04550,     0.00000,   476.99835,     0.00000
   5,   1,   1,    65.64944,    53.56800,    92.36530,    39.32635,    92.21767,    65.24577,   247.27411,    69.60831,   197.14142,   272.23703,   271.35571,     0.00000,   223.29610,     0.00000,   363.42499,     0.00000
   6,   1,   1,    65.64944,    53.56797,    92.51491,    39.35814,    92.45304,    65.35957,     0.00000,    69.60831,   197.13295,   294.02072,   472.08313,     0.00000,   330.17627,     0.00000,   293.57202,     0.00000
   7,   1,   1,    65.67662,    53.63257,    92.60172,    39.29455,    92.57667,    65.16208,     0.00000,    69.60831,   197.12450,   312.92365,   472.07892,     0.00000,    94.00000,     0.00000,   710.93304,     0.00000
   8,   1,   1,    65.64944,    53.47463,    92.20383,    39.32635,    92.21788,    65.11827,     0.00000,    69.60831,   197.11604,   299.68109,   472.07770,     0.00000,   589.24158,     0.00000,   230.00000,     0.00000
   9,   1,   1,    65.67662,    53.64790,    92.74360,    39.46336,    92.73688,    65.47344,     0.00000,   166.25513,   197.10759,   631.33423,   271.38000,     0.00000,   223.49983,     0.00000,   701.96820,     0.00000
  10,   1,   1,    65.76072,    53.57304,    92.42154,    39.32635,    92.57607,    65.27610,   247.34021,   106.10970,   197.09914,   232.85368,   672.66724,     0.00000,   223.49983,     0.00000,   501.97290,     0.00000
  11,   1,   1,    65.56554,    53.59490,    92.11800,    39.18933,    92.09485,    65.21909,   247.32332,    69.60831,   197.09068,   234.92546,   310.61267,     0.00000,   555.02789,     0.00000,   230.00000,     0.00000
  12,   1,   1,    65.64944,    53.41570,    92.77568,    39.42681,    92.53394,    65.57398,     0.00000,    77.50303,   197.08223,   307.32367,   472.13550,     0.00000,   554.92059,     0.00000,   246.83806,     0.00000
  13,   1,   1,    65.64944,    53.58328,    92.71151,    39.32648,    92.37269,    65.11834,   247.32718,    69.60831,   197.07376,   236.42029,   209.11760,     0.00000,   389.02869,     0.00000,   494.94519,     0.00000
  14,   1,   1,    65.67662,    53.63268,    92.11800,    39.32635,    92.57682,    65.33114,     0.00000,    74.92743,   197.06531,   239.07213,   462.01434,     0.00000,   388.65118,     0.00000,   494.94553,     0.00000
  15,   1,   1,    65.64944,    53.47458,    92.44015,    39.22575,    92.13743,    65.20200,   196.19656,    69.60831,   197.05685,   240.03038,    95.00460,     0.00000,   553.94470,     0.00000,   495.02585,     0.00000
  16,   1,   1,    65.67662,    53.63259,    92.51491,    39.32635,    92.29823,    65.44498,   247.32175,   122.34307,   197.04840,   357.82285,   326.90103,     0.00000,    94.00000,     0.00000,   495.20444,     0.00000
  17,   1,   1,    65.64944,    53.47459,    92.36539,    39.32635,    92.41586,    65.13372,     0.00000,    83.45255,   197.03995,   251.60165,   540.98767,     0.00000,   553.45081,     0.00000,   230.00000,     0.00000
  18,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.41586,    65.14871,     0.00000,   102.89781,   197.03149,   305.30438,   511.27655,     0.00000,   553.20612,     0.00000,   527.06885,     0.00000
  19,   1,   1,    65.67662,    53.63255,    92.67637,    39.46336,    92.73688,    65.36142,   247.34634,   115.72284,   197.02304,   499.07199,  1078.41809,     0.00000,   680.20551,     0.00000,   735.89734,     0.00000
  20,   1,   1,    65.64944,    53.47463,    92.20393,    39.32635,    92.57607,    65.28930,   247.32945,   152.44719,   197.01459,   384.60220,  1075.98181,     0.00000,   640.03308,     0.00000,   853.98639,     0.00000
  21,   1,   1,    65.67662,    53.63255,    92.67637,    39.20299,    92.11081,    65.40324,   247.31258,   127.23503,   197.00612,   513.50287,   672.56769,     0.00000,   553.95911,     0.00000,  1241.89868,     0.00000
  22,   1,   1,    65.76072,    53.57304,    92.53953,    39.50431,    92.47971,    65.46011,   247.29568,    96.42432,   196.99767,   578.94513,   672.59174,     0.00000,   553.95984,     0.00000,  1209.45056,     0.00000
  23,   1,   1,    65.64964,    53.62867,    92.51780,    39.27175,    92.72092,    65.23788,     0.00000,    69.60831,   196.98921,   317.02820,   289.01163,     0.00000,   553.82385,     0.00000,   230.00000,     0.00000
  24,   1,   1,    65.53836,    53.45614,    91.98962,    39.25759,    92.11081,    65.08981,     0.00000,    69.60831,    92.17744,   218.65715,   472.14383,     0.00000,   553.20612,     0.00000,   702.71539,     0.00000
  25,   1,   1,    65.67662,    53.55841,    92.51491,    39.32635,    92.49626,    65.53411,   247.32030,    89.23869,   197.17523,   366.48465,   860.54108,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
  26,   1,   1,    65.64944,    53.47454,    92.60172,    39.35814,    92.45304,    65.28930,   247.30341,   167.29471,   197.16678,   306.54404,   672.58008,     0.00000,   259.90219,     0.00000,   230.00000,     0.00000
  27,   1,   1,    65.64944,    53.56802,    92.27890,    39.32639,    92.29228,    65.09568,   247.28653,    69.60831,   197.15833,   306.41278,   370.56241,     0.00000,   223.49983,     0.00000,   230.00000,     0.00000
