Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  632.30    ,  634.29    ,  632.30    ,  630.09    ,  632.86    ,  632.04    ,  943.00    ,  710.20    ,  636.00    ,  996.00    ,  1687.1    ,  3023.9    ,  1000.0    ,  794.46    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   2,   1,   1,  632.30    ,  631.19    ,  632.81    ,  634.51    ,  633.41    ,  633.28    ,  943.00    ,  0.0000    ,  1451.0    ,  996.00    ,  1404.3    ,  1000.0    ,  3926.2    ,  1240.8    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   3,   1,   1,  632.30    ,  632.30    ,  632.30    ,  630.61    ,  632.56    ,  633.41    ,  943.00    ,  710.21    ,  1161.6    ,  996.00    ,  1687.1    ,  1852.1    ,  1000.0    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   4,   1,   1,  632.30    ,  632.30    ,  632.30    ,  631.78    ,  631.20    ,  633.13    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1264.9    ,  1655.0    ,  1000.0    ,  1686.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   5,   1,   1,  632.30    ,  632.30    ,  631.79    ,  632.30    ,  630.93    ,  631.88    ,  943.00    ,  710.22    ,  636.00    ,  996.00    ,  1459.0    ,  1000.0    ,  1000.0    ,  1276.4    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   6,   1,   1,  632.30    ,  632.30    ,  632.81    ,  632.81    ,  632.56    ,  632.98    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1604.7    ,  1750.0    ,  1483.4    ,  1024.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   7,   1,   1,  632.30    ,  633.41    ,  633.41    ,  631.79    ,  633.41    ,  631.06    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1731.9    ,  1750.0    ,  414.08    ,  2532.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   8,   1,   1,  632.30    ,  631.19    ,  630.68    ,  632.30    ,  630.94    ,  630.64    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1642.3    ,  1750.0    ,  2654.8    ,  794.74    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   9,   1,   1,  632.30    ,  633.41    ,  634.51    ,  634.51    ,  634.51    ,  634.09    ,  943.00    ,  0.0000    ,  1737.5    ,  996.00    ,  3922.2    ,  1000.0    ,  1000.0    ,  2500.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  10,   1,   1,  633.40    ,  632.52    ,  632.30    ,  632.30    ,  633.40    ,  632.17    ,  943.00    ,  710.39    ,  1052.0    ,  996.00    ,  1218.2    ,  2500.0    ,  1000.0    ,  1780.6    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  11,   1,   1,  631.20    ,  632.96    ,  630.09    ,  630.09    ,  630.09    ,  631.62    ,  943.00    ,  710.35    ,  636.00    ,  996.00    ,  1227.3    ,  1146.5    ,  2500.0    ,  795.61    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  12,   1,   1,  632.30    ,  630.31    ,  634.73    ,  633.92    ,  633.11    ,  635.06    ,  943.00    ,  0.0000    ,  725.98    ,  996.00    ,  1712.5    ,  1750.0    ,  2500.0    ,  853.81    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  13,   1,   1,  632.30    ,  632.30    ,  634.29    ,  632.30    ,  632.00    ,  630.64    ,  943.00    ,  710.36    ,  636.00    ,  996.00    ,  1233.9    ,  767.62    ,  1750.0    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  14,   1,   1,  632.30    ,  633.41    ,  630.09    ,  632.30    ,  633.41    ,  632.71    ,  943.00    ,  0.0000    ,  696.62    ,  996.00    ,  1245.6    ,  1712.1    ,  1750.0    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  15,   1,   1,  632.30    ,  631.19    ,  632.30    ,  630.68    ,  630.38    ,  631.45    ,  943.00    ,  567.06    ,  636.00    ,  996.00    ,  1249.9    ,  342.00    ,  2500.0    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  16,   1,   1,  632.30    ,  633.41    ,  632.81    ,  632.30    ,  631.49    ,  633.81    ,  943.00    ,  710.35    ,  1237.0    ,  996.00    ,  2046.6    ,  1207.2    ,  421.51    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  17,   1,   1,  632.30    ,  631.19    ,  631.79    ,  632.30    ,  632.30    ,  630.79    ,  943.00    ,  0.0000    ,  793.78    ,  996.00    ,  1327.6    ,  2007.3    ,  2500.0    ,  790.21    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  18,   1,   1,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  630.94    ,  943.00    ,  0.0000    ,  1015.4    ,  996.00    ,  1687.1    ,  1896.3    ,  2500.0    ,  1863.5    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  19,   1,   1,  632.30    ,  633.41    ,  633.92    ,  634.51    ,  634.51    ,  633.00    ,  943.00    ,  710.41    ,  1161.6    ,  996.00    ,  2992.4    ,  4018.3    ,  3077.2    ,  2616.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  20,   1,   1,  632.30    ,  631.19    ,  630.68    ,  632.30    ,  633.40    ,  632.30    ,  943.00    ,  710.37    ,  1580.1    ,  996.00    ,  2212.7    ,  4009.3    ,  2892.7    ,  3040.9    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  21,   1,   1,  632.30    ,  633.41    ,  633.92    ,  630.31    ,  630.20    ,  633.41    ,  943.00    ,  710.32    ,  1292.8    ,  996.00    ,  3086.9    ,  2500.0    ,  2500.0    ,  4439.7    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
