Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      
   1,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70993,   253.96060,   184.33365,   233.99907,   159.00000,   140.93892,   110.15659,    85.13044,   168.50000,   258.47000
   2,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70987,   253.96121,   184.33188,   233.99814,   159.00000,   140.92999,   110.17403,    85.27989,   168.50000,   258.47000
   3,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70979,   253.96181,   184.33336,   233.99721,   159.00000,   140.92627,   110.22971,    85.27989,   168.50000,   258.47000
   4,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70972,   253.96242,   184.33484,   233.99628,   159.00000,   140.93433,   110.33163,    85.21205,   168.50000,   258.47000
   5,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70976,   253.96185,   184.33632,   233.99535,   159.00000,   140.93750,   110.33700,    85.23852,   168.50000,   258.47000
   6,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70969,   253.96246,   184.33653,   233.99442,   159.00000,   140.93587,   110.31885,    85.27989,   168.50000,   258.47000
   7,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70963,   253.96306,   184.33801,   233.99348,   159.00000,   140.93463,   110.33700,    85.26815,   168.50000,   258.47000
   8,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70955,   253.96367,   184.33926,   233.99255,   159.00000,   140.93346,   110.33483,    85.27815,   168.50000,   258.47000
   9,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70959,   253.96304,   184.34073,   233.99162,   159.00000,   140.93272,   110.33270,    85.27989,   168.50000,   258.47000
  10,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70966,   253.96216,   184.34221,   233.99069,   159.00000,   140.93927,   110.31635,    85.22227,   168.50000,   258.47000
  11,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70969,   253.96162,   184.34369,   233.98976,   159.00000,   140.94194,   110.33700,    85.24139,   168.50000,   258.47000
  12,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70972,   253.96114,   184.34517,   233.98883,   159.00000,   140.94115,   110.33700,    85.27989,   168.50000,   258.47000
  13,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70966,   253.96173,   184.34605,   233.98790,   159.00000,   140.94374,   110.32893,    85.25252,   168.50000,   258.47000
  14,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70958,   253.96234,   184.34645,   233.98697,   159.00000,   140.94397,   110.33700,    85.24409,   168.50000,   258.47000
  15,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70950,   253.96295,   184.34761,   233.98604,   159.00000,   140.93974,   110.33618,    85.27989,   168.50000,   258.47000
  16,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70953,   253.96246,   184.34877,   233.98511,   159.00000,   140.95297,   110.33700,    85.27953,   168.50000,   258.47000
  17,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70947,   253.96306,   184.34729,   233.98418,   159.00000,   140.95222,   110.27582,    85.27660,   168.50000,   258.47000
  18,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70940,   253.96367,   184.34877,   233.98325,   159.00000,   140.93477,   110.31331,    85.27989,   168.50000,   258.47000
  19,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70943,   253.96318,   184.34555,   233.98232,   159.00000,   140.91789,   110.20996,    85.24369,   168.50000,   258.47000
  20,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70946,   253.96268,   184.34325,   233.98138,   159.00000,   140.91953,   110.25539,    85.21056,   168.50000,   258.47000
  21,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70949,   253.96219,   184.34096,   233.98045,   159.00000,   140.92673,   110.25560,    85.02435,   168.50000,   258.47000
  22,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70952,   253.96170,   184.33629,   233.97952,   159.00000,   140.93880,   110.24825,    84.79655,   168.50000,   258.47000
  23,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70944,   253.96230,   184.33777,   233.97859,   158.99632,   140.95267,   110.33700,    84.95757,   168.50000,   258.47000
  24,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70938,   253.96291,   184.33925,   233.97766,   159.00000,   140.95253,   110.33680,    84.84005,   168.50000,   258.47000
  25,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70930,   253.96352,   184.34073,   233.97673,   158.97209,   140.95230,   110.33700,    84.79741,   168.50000,   258.47000
  26,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70934,   253.96301,   184.34221,   233.97580,   158.98145,   140.95648,   110.24065,    84.91037,   168.50000,   258.47000
  27,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70937,   253.96252,   184.34369,   233.97487,   159.00000,   140.96370,   110.21173,    85.07978,   168.50000,   258.47000
  28,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70929,   253.96313,   184.34517,   233.97394,   158.98053,   140.96204,   110.27914,    85.04382,   168.50000,   258.47000
  29,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70926,   253.96335,   184.34665,   233.98308,   159.00000,   140.97290,   110.14697,    85.02283,   168.50000,   258.47000
  30,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70929,   253.96286,   184.34605,   233.98215,   159.00000,   140.97318,   110.22941,    85.14071,   168.50000,   258.47000
  31,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70932,   253.96236,   184.34137,   233.98122,   158.98758,   140.98460,   110.33700,    85.04152,   168.50000,   258.47000
  32,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70935,   253.96187,   184.34285,   233.98029,   159.00000,   140.99101,   110.18893,    85.02043,   168.50000,   258.47000
  33,   1,   1,   299.10001,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70927,   253.96248,   184.34433,   233.97935,   159.00000,   140.96970,   110.21033,    85.07825,   168.50000,   258.47000
  34,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70930,   253.96198,   184.34581,   233.97842,   159.00000,   140.96635,   110.28220,    85.09286,   168.50000,   258.47000
  35,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70924,   253.96259,   184.34729,   233.97749,   158.98070,   140.96443,   110.21553,    85.14392,   168.50000,   258.47000
  36,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70926,   253.96225,   184.34877,   233.97656,   159.00000,   140.96449,   110.14506,    85.23807,   168.50000,   258.47000
  37,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70929,   253.96175,   184.34666,   233.97563,   159.00000,   140.95839,   110.33700,    85.27989,   168.50000,   258.47000
  38,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70921,   253.96236,   184.34729,   233.97470,   158.99139,   140.95694,   110.33700,    85.14700,   168.50000,   258.47000
  39,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70924,   253.96187,   184.34877,   233.97377,   159.00000,   140.97156,   110.20040,    85.17027,   168.50000,   258.47000
  40,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70929,   253.96114,   184.34592,   233.97284,   158.98988,   140.97424,   110.06059,    85.24560,   168.50000,   258.47000
  41,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70932,   253.96063,   184.34729,   233.97191,   159.00000,   140.97174,   110.12816,    85.22686,   168.50000,   258.47000
  42,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70926,   253.96124,   184.34877,   233.97098,   159.00000,   140.94987,   110.10770,    85.27629,   168.50000,   258.47000
  43,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70937,   253.95981,   184.34407,   233.97005,   159.00000,   140.92703,   110.11219,    85.18187,   168.50000,   258.47000
  44,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70949,   253.95836,   184.33940,   233.96912,   159.00000,   140.91905,   110.11476,    85.18881,   168.50000,   258.47000
  45,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70963,   253.95674,   184.33458,   233.96382,   158.96989,   140.91071,   110.10234,    85.10866,   168.50000,   258.47000
  46,   1,   1,   299.10001,   284.62000,   274.17001,   254.81000,   247.49001,   229.21001,   216.70975,   253.95512,   184.32976,   233.95851,   158.93974,   140.90837,   110.10737,    85.04326,   168.50000,   258.47000
  47,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70978,   253.95462,   184.33124,   233.95758,   158.96434,   140.90604,   110.22015,    85.22514,   168.50000,   258.47000
  48,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70981,   253.95413,   184.33272,   233.95665,   158.98250,   140.89197,   110.33685,    85.08909,   168.50000,   258.47000
  49,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70984,   253.95364,   184.33420,   233.95572,   159.00000,   140.87810,   110.33700,    84.88421,   168.50000,   258.47000
  50,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70990,   253.95276,   184.33568,   233.95479,   159.00000,   140.86557,   110.33700,    84.88428,   168.50000,   258.47000
  51,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70999,   253.95164,   184.33716,   233.95386,   158.97966,   140.85884,   110.27749,    84.99020,   168.50000,   258.47000
  52,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70993,   253.95224,   184.33864,   233.95293,   158.99635,   140.84816,   110.28965,    85.04062,   168.50000,   258.47000
  53,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70996,   253.95175,   184.34012,   233.95200,   159.00000,   140.83485,   110.33700,    85.10372,   168.50000,   258.47000
  54,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70988,   253.95236,   184.34160,   233.95107,   158.99855,   140.82222,   110.30058,    85.11047,   168.50000,   258.47000
  55,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70981,   253.95297,   184.34129,   233.95013,   159.00000,   140.79741,   110.33700,    85.13728,   168.50000,   258.47000
  56,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70975,   253.95357,   184.34155,   233.94920,   158.97603,   140.79175,   110.27865,    85.17748,   168.50000,   258.47000
  57,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70978,   253.95308,   184.34303,   233.94827,   159.00000,   140.79518,   110.25977,    85.13564,   168.50000,   258.47000
  58,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70970,   253.95369,   184.34398,   233.94734,   159.00000,   140.76686,   110.18454,    85.14258,   168.50000,   258.47000
  59,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70975,   253.95305,   184.34546,   233.94641,   159.00000,   140.76170,   110.23956,    85.18649,   168.50000,   258.47000
  60,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70967,   253.95366,   184.34433,   233.94548,   158.98541,   140.74547,   110.21255,    85.25897,   168.50000,   258.47000
  61,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70970,   253.95317,   184.34581,   233.94456,   159.00000,   140.74701,   110.33700,    85.27989,   168.50000,   258.47000
  62,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70964,   253.95378,   184.34721,   233.94363,   159.00000,   140.73953,   110.20782,    85.26530,   168.50000,   258.47000
  63,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70966,   253.95328,   184.34631,   233.94270,   159.00000,   140.73878,   110.24118,    85.27989,   168.50000,   258.47000
  64,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70959,   253.95389,   184.34163,   233.93747,   159.00000,   140.74055,   110.24139,    85.18589,   168.50000,   258.47000
  65,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70952,   253.95450,   184.33688,   233.93236,   158.90349,   140.75484,   110.33700,    85.07307,   168.50000,   258.47000
  66,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70946,   253.95511,   184.33836,   233.93143,   158.91998,   140.74927,   110.26350,    85.11725,   168.50000,   258.47000
  67,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70956,   253.95366,   184.33354,   233.92599,   158.99039,   140.72096,   110.24002,    84.94942,   168.50000,   258.47000
  68,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70969,   253.95226,   184.32874,   233.92055,   159.00000,   140.69864,   110.24490,    84.93922,   168.50000,   258.47000
  69,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70979,   253.95082,   184.32393,   233.91507,   159.00000,   140.69595,   110.19715,    84.87708,   168.50000,   258.47000
  70,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70992,   253.94937,   184.31912,   233.90958,   159.00000,   140.69812,   110.07797,    84.83790,   168.50000,   258.47000
  71,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70995,   253.94888,   184.31488,   233.90511,   159.00000,   140.71213,   110.11839,    84.91958,   168.50000,   258.47000
  72,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70998,   253.94839,   184.31636,   233.89957,   159.00000,   140.73013,   109.98737,    84.69942,   168.50000,   258.47000
  73,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70990,   253.94899,   184.31738,   233.89401,   158.95718,   140.74014,   109.60660,    84.82255,   168.50000,   258.47000
