Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,    7
Estg,Ser.,Pat.,Sydney      ,New York    ,DorrieR1    ,DorrieR2    ,Solar       ,Wind_2024   ,DSM and DR  
   1,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
   2,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
   3,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
   4,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
   5,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
   6,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
   7,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
   8,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
   9,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  10,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  11,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  12,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  13,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  14,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  15,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  16,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  17,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  18,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  19,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.38    
  20,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.38    
  21,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.38    
  22,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  539.38    
  23,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
  24,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
  25,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
  26,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  217.65    
  27,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
  28,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
  29,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
  30,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  202.71    
  31,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  32,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  33,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
  34,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
  35,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  36,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  37,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  38,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  39,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  377.50    
  40,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  41,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  411.98    
  42,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.80    ,  446.42    
  43,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  549.79    
  44,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  549.79    
  45,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
  46,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.81    ,  578.77    
  47,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
  48,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
  49,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  374.28    
