Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,    9
Estg,Ser.,Pat.,Branson69   ,MILO_dummy  ,BK_dummy    ,EN_dummy    ,SCGT_GE7FA-1,SCGT_GE7FA-2,SCGT_GE7FA-I,CCGT_GE7FA-I,LM6000      
   1,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   360.00000,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,   241.66882,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,   257.59827,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  11,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  12,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  13,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  14,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  15,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  16,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  17,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  18,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  19,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  20,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  21,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  22,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  23,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   360.00000,     0.00000,     0.00000,     0.00000,     0.00000
  24,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  25,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  26,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  27,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  28,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  29,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  30,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  31,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
