Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,    65.67662,    53.72207,    92.54988,    39.24593,    92.59911,    65.34609,    60.37086,     0.00000,   211.14784,   208.00000,   339.27393,   672.59485,   208.89369,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,    65.64944,    53.47468,    91.98962,    39.27140,    92.13265,    65.14681,    60.37086,     0.00000,    69.60831,   197.12816,   194.37337,   472.07526,   554.94891,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,    65.64944,    53.56799,    92.44015,    39.25769,    92.27134,    65.41142,    60.37086,   270.57233,    74.84177,   193.83401,   240.07156,   271.34152,   389.07919,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,    65.64944,    53.56793,    92.67637,    39.32626,    92.49628,    65.25381,    60.37086,     0.00000,    69.60831,   197.11768,   238.72838,   271.35037,    94.00000,   287.87738,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,    65.64944,    53.58328,    92.50745,    39.32635,    92.41576,    65.25134,    60.37086,     0.00000,    69.60831,   197.10922,   240.47620,   271.35913,   131.62633,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,    65.64944,    53.56806,    92.11800,    39.29451,    92.21783,    65.15267,    60.37086,   204.70862,    69.60831,   159.01842,   239.12267,   271.36804,    94.00000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,    65.64944,    53.58328,    92.58197,    39.42681,    92.65691,    65.43168,    60.37086,     0.00000,    69.60831,   208.00000,   256.60120,   271.37762,   223.85347,   287.31995,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,    65.73354,    53.58657,    92.27968,    39.22588,    92.25506,    65.10509,    60.37086,     0.00000,    69.60831,   163.68530,   187.32600,   271.38791,   554.92151,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,    65.64964,    53.70677,    92.47224,    39.32635,    92.29839,    65.30457,    60.37086,   273.39023,    69.60831,   197.17523,   241.89236,   271.38992,    94.00000,   495.46307,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,    65.64964,    53.55449,    92.87194,    39.42681,    92.69415,    65.43166,    60.37086,   419.39288,    86.81216,   196.10461,   370.40778,    94.98891,   236.25726,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  11,   1,   1,    65.56554,    53.52072,    92.16113,    39.25781,    92.45319,    65.19052,    60.37086,   375.65305,    69.60831,   197.16040,   238.61279,    95.04597,    94.00000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  12,   1,   1,    65.64944,    53.40041,    92.43032,    39.29442,    92.13758,    65.23250,    60.37086,     0.00000,    69.60831,   180.75677,   304.83051,   449.50607,    94.00000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  13,   1,   1,    65.67662,    53.64790,    92.87194,    39.35814,    92.57652,    65.51520,    60.37086,     0.00000,   105.95699,   192.80843,   304.54617,   271.49527,   210.57787,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  14,   1,   1,    65.67662,    53.53927,    92.11800,    39.36332,    92.49626,    65.08990,    60.37086,     0.00000,    99.83863,   192.80843,   304.26184,   266.70926,   223.49983,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  15,   1,   1,    65.67662,    53.53920,    92.44015,    39.25759,    92.21788,    65.24754,    60.37086,     0.00000,   102.89781,   192.80843,   303.70584,    95.12761,   127.60233,   494.70679,     0.00000,     0.00000,     0.00000,     0.00000
  16,   1,   1,    65.73354,    53.49312,    92.44015,    39.46336,    92.65647,    65.48873,    60.37086,     0.00000,   211.37787,   197.17523,   380.41870,    95.17899,   139.38191,   286.78928,     0.00000,     0.00000,     0.00000,     0.00000
  17,   1,   1,    65.56554,    53.68823,    92.44015,    39.22131,    92.45325,    65.24756,    60.37086,     0.00000,    69.60831,   188.43317,   233.83044,   502.63065,    94.00000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  18,   1,   1,    65.64944,    53.40041,    92.44015,    39.29437,    92.09485,    65.19055,    60.37086,     0.00000,    69.60831,   192.80843,   294.04489,   403.31177,   555.02789,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  19,   1,   1,    65.67662,    53.63260,    92.44015,    39.42681,    92.65675,    65.50185,    60.37086,   419.43707,   211.33679,   192.80843,   490.46066,  1088.24695,   874.65039,   711.71936,     0.00000,     0.00000,     0.00000,     0.00000
