Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  0.0000    ,  633.18    ,  632.08    ,  630.39    ,  632.45    ,  631.75    ,  632.85    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  838.88    ,  773.60    ,  1321.2    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   2,   1,   1,  0.0000    ,  632.30    ,  630.31    ,  632.53    ,  631.46    ,  632.02    ,  630.92    ,  0.0000    ,  991.40    ,  962.80    ,  1330.9    ,  1742.3    ,  2350.0    ,  1248.5    ,  1330.9    ,  0.0000    ,  692.93    ,  692.93    
   3,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  631.19    ,  631.30    ,  633.49    ,  1425.9    ,  0.0000    ,  991.40    ,  962.80    ,  1006.2    ,  1080.2    ,  1600.0    ,  2350.0    ,  1006.2    ,  0.0000    ,  368.21    ,  368.21    
   4,   1,   1,  0.0000    ,  632.30    ,  633.41    ,  632.30    ,  631.75    ,  631.96    ,  631.96    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1248.9    ,  1000.0    ,  1483.2    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   5,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  630.83    ,  631.93    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1245.7    ,  1000.0    ,  450.04    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
   6,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  631.79    ,  632.04    ,  632.08    ,  1221.9    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1250.6    ,  1000.0    ,  550.99    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   7,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  633.92    ,  632.85    ,  632.58    ,  633.68    ,  0.0000    ,  991.40    ,  962.80    ,  1608.8    ,  1268.8    ,  1000.0    ,  531.58    ,  1608.8    ,  0.0000    ,  970.84    ,  970.84    
   8,   1,   1,  0.0000    ,  632.52    ,  632.30    ,  630.68    ,  632.30    ,  631.62    ,  630.51    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1289.5    ,  1000.0    ,  1301.3    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   9,   1,   1,  0.0000    ,  633.18    ,  632.52    ,  632.30    ,  631.49    ,  632.45    ,  1434.8    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1055.9    ,  1000.0    ,  2083.2    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  10,   1,   1,  0.0000    ,  632.30    ,  634.29    ,  633.92    ,  633.11    ,  632.58    ,  1957.8    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1432.6    ,  868.40    ,  544.58    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  11,   1,   1,  0.0000    ,  632.08    ,  630.97    ,  631.20    ,  632.56    ,  631.34    ,  1798.0    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1953.2    ,  342.00    ,  930.32    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  12,   1,   1,  0.0000    ,  631.42    ,  632.75    ,  631.79    ,  631.49    ,  632.85    ,  631.75    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1332.3    ,  623.60    ,  416.52    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  13,   1,   1,  0.0000    ,  632.30    ,  634.29    ,  632.81    ,  632.30    ,  633.39    ,  634.49    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1687.1    ,  1600.0    ,  521.23    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  14,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  632.90    ,  632.85    ,  631.47    ,  630.36    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1687.1    ,  1000.0    ,  953.23    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  15,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  631.19    ,  632.04    ,  631.89    ,  631.89    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1687.1    ,  868.40    ,  913.22    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  16,   1,   1,  0.0000    ,  632.52    ,  632.30    ,  634.51    ,  632.85    ,  633.13    ,  634.24    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1792.5    ,  342.00    ,  576.80    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
