Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,   632.29999,   634.28839,   633.18011,   631.49829,   633.56305,   632.85144,     0.00000,  2250.77661,  1096.95203,  1918.40137,  2500.00000,     0.00000,   935.59216,     0.00000,   793.83014,     0.00000
   2,   1,   1,   632.29999,   631.19165,   629.21149,   631.41431,   630.34796,   630.91663,     0.00000,   636.00000,   996.00000,  1037.75732,  1750.00000,     0.00000,  2500.00000,     0.00000,   792.94324,     0.00000
   3,   1,   1,   632.29999,   632.29999,   632.29999,   631.19342,   631.30389,   633.48572,   792.43622,   695.64575,   979.17725,  1250.04224,  1000.00000,     0.00000,  1750.00000,     0.00000,   789.90869,     0.00000
   4,   1,   1,   632.29999,   632.29999,   633.91937,   632.29852,   632.85431,   631.95551,     0.00000,   636.00000,   996.00000,  1244.11243,  1000.00000,     0.00000,   416.24033,     0.00000,  1000.00000,     0.00000
   5,   1,   1,   632.29999,   632.29999,   632.88910,   632.29999,   632.29926,   631.93152,     0.00000,   636.00000,   996.00000,  1251.82861,  1000.00000,     0.00000,   585.22235,     0.00000,   789.62701,     0.00000
   6,   1,   1,   632.29999,   632.29999,   630.09155,   631.78687,   630.93506,   630.97351,   590.90717,   636.00000,   803.23773,  1245.85315,  1000.00000,     0.00000,   414.07956,     0.00000,   790.09076,     0.00000
   7,   1,   1,   632.29999,   632.29999,   633.40009,   633.91937,   633.96143,   633.68243,     0.00000,   636.00000,  1097.03760,  1360.49963,  1000.00000,     0.00000,  1001.59998,     0.00000,  1000.00000,     0.00000
   8,   1,   1,   633.40009,   632.52002,   631.19989,   630.68066,   631.19165,   630.51160,     0.00000,   636.00000,   826.79541,  1005.30823,  1000.00000,     0.00000,  2500.00000,     0.00000,   790.00507,     0.00000
   9,   1,   1,   632.29999,   634.28839,   632.52002,   632.29999,   631.49030,   632.44824,   802.35382,   636.00000,   996.00000,  1258.08057,  1000.00000,     0.00000,   416.04434,     0.00000,  1750.00000,     0.00000
  10,   1,   1,   632.29999,   632.29999,   635.38855,   633.91937,   634.21802,   633.68219,  1324.08765,   832.07208,   990.57446,  2130.59766,   342.00000,     0.00000,  1058.74438,     0.00000,   789.83173,     0.00000
  11,   1,   1,   631.19989,   632.07996,   630.38721,   631.19525,   632.55731,   631.34100,  1166.65967,   636.00000,   996.00000,  1243.60217,   342.00000,     0.00000,   416.60773,     0.00000,   789.55688,     0.00000
  12,   1,   1,   632.29999,   630.31158,   632.23260,   631.78540,   630.38196,   631.74854,     0.00000,   636.00000,   913.02551,  1687.09998,  1665.37830,     0.00000,   416.15778,     0.00000,   790.28247,     0.00000
  13,   1,   1,   632.29999,   633.40833,   635.38855,   632.81250,   633.40729,   634.49329,     0.00000,  1050.26538,   973.90002,  1687.09998,  1000.00000,     0.00000,   941.53448,     0.00000,   790.80542,     0.00000
  14,   1,   1,   632.29999,   632.29999,   630.09155,   632.89587,   632.85419,   630.36401,     0.00000,   980.53461,   973.90002,  1687.09998,   982.06885,     0.00000,  1000.00000,     0.00000,   790.48785,     0.00000
  15,   1,   1,   632.29999,   632.29999,   632.29999,   631.19165,   630.93542,   631.89465,     0.00000,  1015.40002,   973.90002,  1687.09998,   342.00000,     0.00000,   566.11133,     0.00000,  1750.00000,     0.00000
  16,   1,   1,   633.40009,   631.41168,   632.29999,   634.50842,   633.95837,   634.23633,     0.00000,  2253.16870,   996.00000,  2213.99634,   342.00000,     0.00000,   619.56726,     0.00000,  1000.00000,     0.00000
  17,   1,   1,   631.19989,   634.06842,   632.29999,   630.60693,   632.55768,   631.89478,     0.00000,   636.00000,   951.79999,  1222.48962,  1863.96216,     0.00000,   414.07956,     0.00000,   793.35199,     0.00000
  18,   1,   1,   632.29999,   630.31158,   632.29999,   631.78461,   630.08746,   631.34131,     0.00000,   636.00000,   973.90002,  1624.81409,  1492.70020,     0.00000,  2500.00000,     0.00000,   793.27698,     0.00000
  19,   1,   1,   632.29999,   633.40833,   632.29999,   633.91937,   633.96033,   634.36365,  1324.19482,  2252.74170,   973.90002,  2947.09546,  4054.44604,     0.00000,  3950.62720,     0.00000,  2532.81006,     0.00000
  20,   1,   1,   632.29999,   631.19165,   632.52002,   631.19525,   632.55731,   631.32257,  1324.09802,  2251.63818,   973.90002,  3023.48633,  4046.16748,     0.00000,  3950.40918,     0.00000,  2500.00000,     0.00000
  21,   1,   1,   632.29999,   632.29999,   635.38855,   632.51831,   630.74841,   630.91827,  1324.00134,  2250.53564,  1112.29944,  3097.73340,  3669.06201,     0.00000,  2850.79004,     0.00000,  3636.88696,     0.00000
  22,   1,   1,   633.40009,   633.62836,   632.29999,   635.76672,   635.25085,   634.36444,  1323.90454,  2249.43408,  1099.45984,  3982.80005,  2633.64331,     0.00000,  2500.00000,     0.00000,  4455.56641,     0.00000
  23,   1,   1,   631.19989,   632.96008,   632.07996,   628.32037,   632.04358,   631.65289,   253.00000,   636.00000,   996.00000,  1188.60852,   342.00000,     0.00000,  2500.00000,     0.00000,   789.69958,     0.00000
  24,   1,   1,   632.29999,   630.31158,   629.21149,   635.38855,   630.74609,   631.89404,     0.00000,   636.00000,   996.00000,  1052.26599,  2469.80249,     0.00000,   414.07956,     0.00000,  1750.00000,     0.00000
  25,   1,   1,   632.29999,   633.40833,   634.50842,   633.18011,   635.39264,   634.75281,     0.00000,  1296.40491,   776.44513,  1233.64197,   939.77155,     0.00000,  2500.00000,     0.00000,   788.96790,     0.00000
  26,   1,   1,   632.29999,   631.19165,   632.29999,   629.21149,   630.08746,   631.39484,   285.47241,   636.00000,   949.51056,  1225.11902,   424.95032,     0.00000,   657.58185,     0.00000,  2500.00000,     0.00000
  27,   1,   1,   632.29999,   632.29999,   632.29999,   632.29999,   630.75574,   631.96375,   253.00000,   636.00000,   996.00000,  1218.42432,   732.38037,     0.00000,   730.98706,     0.00000,   789.91077,     0.00000
  28,   1,   1,   632.29999,   632.29999,   630.31158,   633.91937,   634.21802,   633.84564,     0.00000,   636.00000,   758.38586,  1211.85046,   722.75781,     0.00000,   825.37708,     0.00000,  1000.00000,     0.00000
  29,   1,   1,   632.29999,   632.29999,   635.16852,   632.88910,   633.40424,   629.31598,   257.50751,   636.00000,   943.85181,  1215.73779,   845.21655,     0.00000,   414.16571,     0.00000,   790.48688,     0.00000
  30,   1,   1,   632.29999,   632.29999,   629.21149,   630.09155,   630.38196,   632.48688,     0.00000,   636.00000,   749.12085,  1213.29199,   835.02710,     0.00000,   961.57678,     0.00000,   791.00555,     0.00000
  31,   1,   1,   632.29999,   633.40833,   634.50842,   633.40009,   632.85419,   634.91675,   710.30225,  2141.87671,   992.60382,  1255.95203,   342.00000,     0.00000,   870.00000,     0.00000,   790.70776,     0.00000
  32,   1,   1,   632.29999,   631.19165,   630.60693,   631.19989,   632.29999,   631.89313,   366.13934,   636.00000,   752.68414,  1436.64075,  2376.10767,     0.00000,  1000.00000,     0.00000,  1000.00000,     0.00000
  33,   1,   1,   633.40009,   633.62836,   631.78461,   632.52002,   630.75165,   630.51245,     0.00000,   636.00000,   973.90002,  1687.09998,  2207.17822,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  34,   1,   1,   632.29999,   633.18011,   634.13910,   635.38855,   635.06262,   633.68268,   393.47931,   636.00000,   996.00000,  1687.09998,   857.40289,     0.00000,  2746.42261,     0.00000,  1750.00000,     0.00000
  35,   1,   1,   631.19989,   632.07996,   632.96161,   630.38721,   631.77954,   630.42023,   253.00000,   636.00000,   996.00000,  1687.09998,  1478.85608,     0.00000,  1000.00000,     0.00000,  1750.00000,     0.00000
  36,   1,   1,   632.29999,   631.41992,   629.79932,   632.23260,   631.30988,   632.90710,   253.00000,   636.00000,   996.00000,  1687.09998,  1714.85144,     0.00000,  1000.00000,     0.00000,  1750.00000,     0.00000
